"request_creation_time" "request_url" "target_processing_time" "request_verb" 
"2022-04-25T06:15:13.608000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=Android&category=PHONE&category=ANY&sessionId=4153974" "25.707" "GET" 
"2022-04-25T07:17:57.046000Z" "https://api.kobiton.com:443/v1/sessions/4154237/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "25.419" "GET" 
"2022-04-25T03:19:54.923000Z" "https://api.kobiton.com:443/v1/data-sets" "25.175" "POST" 
"2022-04-25T05:00:26.589000Z" "https://api.kobiton.com:443/v1/sessions/4153754/ksl-actions" "24.418" "GET" 
"2022-04-25T06:53:26.781000Z" "https://api.kobiton.com:443/v1/sessions/4154138/ksl-actions" "24.346" "GET" 
"2022-04-25T06:56:43.693000Z" "https://api.kobiton.com:443/v1/sessions/4154150/ksl-metadata" "24.026" "GET" 
"2022-04-25T05:02:04.409000Z" "https://api.kobiton.com:443/v1/test-cases" "23.245" "POST" 
"2022-04-25T09:24:40.413000Z" "https://api.kobiton.com:443/v1/sessions/4098258/ksl-metadata" "23.21" "GET" 
"2022-04-25T04:01:16.982000Z" "https://api.kobiton.com:443/v1/revisitPlans/start" "23.186" "POST" 
"2022-04-25T02:07:02.134000Z" "https://api.kobiton.com:443/v1/sessions/4153395/ksl-metadata" "23.174" "GET" 
"2022-04-25T04:52:22.114000Z" "https://api.kobiton.com:443/v1/data-sets" "21.675" "POST" 
"2022-04-25T07:05:01.848000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=iOS&category=PHONE&category=ANY&sessionId=4154192" "21.619" "GET" 
"2022-04-25T07:14:56.933000Z" "https://api.kobiton.com:443/v1/revisitPlans/settings" "20.816" "POST" 
"2022-04-25T02:13:39.235000Z" "https://api.kobiton.com:443/v1/sessions/4153407/ksl-metadata" "20.597" "GET" 
"2022-04-25T06:33:35.336000Z" "https://api.kobiton.com:443/v1/sessions/4153996/ksl-actions" "20.011" "GET" 
"2022-04-25T04:59:39.410000Z" "https://api.kobiton.com:443/v1/sessions/4153756/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "19.697" "GET" 
"2022-04-25T04:52:25.887000Z" "https://api.kobiton.com:443/v1/sessions/4153735/ksl-actions" "18.995" "GET" 
"2022-04-25T00:25:50.347000Z" "https://api.kobiton.com:443/v1/sessions/4143630/test-script-generation-info" "18.574" "GET" 
"2022-04-25T04:53:16.766000Z" "https://api.kobiton.com:443/v1/data-sets" "18.548" "POST" 
"2022-04-25T06:37:39.771000Z" "https://api.kobiton.com:443/v1/sessions/4154061/revisit-plans" "18.441" "GET" 
"2022-04-25T06:03:37.738000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=Android&category=PHONE&category=ANY&sessionId=4153936" "17.914" "GET" 
"2022-04-25T03:59:46.903000Z" "https://api.kobiton.com:443/v1/sessions/4153614/ksl-metadata" "16.707" "GET" 
"2022-04-25T07:00:55.792000Z" "https://api.kobiton.com:443/v1/sessions/4154150/ksl-metadata" "16.22" "GET" 
"2022-04-25T07:10:32.201000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=iOS&category=PHONE&category=ANY&sessionId=4154213" "15.702" "GET" 
"2022-04-25T06:16:12.968000Z" "https://api.kobiton.com:443/v1/sessions/4153974/ksl-metadata" "15.278" "GET" 
"2022-04-25T05:39:48.025000Z" "https://api.kobiton.com:443/v1/sessions/4149013/revisitPlanDetail?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "15.168" "GET" 
"2022-04-25T03:55:47.283000Z" "https://api.kobiton.com:443/v1/sessions/4153589/test-script-generation-info" "15.156" "GET" 
"2022-04-25T06:31:08.565000Z" "https://api.kobiton.com:443/v1/remediationRequests/504730" "14.488" "GET" 
"2022-04-25T01:29:50.099000Z" "https://api.kobiton.com:443/v1/sessions/4153358/ksl-actions" "14.204" "GET" 
"2022-04-25T06:12:56.189000Z" "https://api.kobiton.com:443/v1/revisitPlans/start" "14.151" "POST" 
"2022-04-25T04:45:08.333000Z" "https://api.kobiton.com:443/v1/remediationRequests/504219/action" "13.794" "POST" 
"2022-04-25T04:46:44.796000Z" "https://api.kobiton.com:443/v1/revisitPlans/settings" "13.356" "POST" 
"2022-04-29T08:56:09.505000Z" "https://api.kobiton.com:443/v1/revisitPlans/93487?includeDeviceBundle=true&includeGeneratedTestScriptDownloadLink=true&includeIsTriggerRealtimeAnalysis=true" "13.205" "GET" 
"2022-04-25T03:48:28.200000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=Android&category=PHONE&category=ANY&sessionId=4153568" "13.177" "GET" 
"2022-04-25T06:51:09.054000Z" "https://api.kobiton.com:443/v1/sessions/4154120/test-script-generation-info" "13.131" "GET" 
"2022-04-25T07:45:26.693000Z" "https://api.kobiton.com:443/v1/test-cases/groups?omitEmptyTestCaseGroups=true" "12.898" "GET" 
"2022-04-25T01:31:35.236000Z" "https://api.kobiton.com:443/v1/sessions/4153358/ksl-metadata" "12.287" "GET" 
"2022-04-25T01:21:55.039000Z" "https://api.kobiton.com:443/v1/data-sets" "12.178" "POST" 
"2022-04-25T04:34:35.534000Z" "https://api.kobiton.com:443/v1/data-sets/90811/actions" "11.158" "GET" 
"2022-04-26T11:23:49.277000Z" "https://api.kobiton.com:443/v1/sessions/4159453/ksl-actions" "10.951" "GET" 
"2022-04-29T08:52:46.304000Z" "https://api.kobiton.com:443/v1/remediationRequests/533349" "10.835" "GET" 
"2022-04-25T01:15:40.686000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=iOS&category=PHONE&category=ANY&sessionId=4153335" "9.616" "GET" 
"2022-04-25T07:04:19.758000Z" "https://api.kobiton.com:443/v1/sessions/4154150/ksl-metadata" "9.322" "GET" 
"2022-04-25T03:45:24.223000Z" "https://api.kobiton.com:443/v1/data-sets" "8.952" "POST" 
"2022-04-25T05:30:51.776000Z" "https://api.kobiton.com:443/v1/data-sets" "8.708" "POST" 
"2022-04-25T07:32:00.142000Z" "https://api.kobiton.com:443/v1/revisitPlans/settings?exploringSessionId=4154262" "8.224" "GET" 
"2022-04-25T03:51:47.703000Z" "https://api.kobiton.com:443/v1/sessions/4153576/ksl-metadata" "7.958" "GET" 
"2022-04-25T12:07:09.174000Z" "https://api.kobiton.com:443/v1/sessions/4155048/ksl-actions" "7.92" "GET" 
"2022-04-25T02:15:23.390000Z" "https://api.kobiton.com:443/v1/sessions/4153407/ksl-metadata" "7.755" "GET" 
"2022-04-25T04:02:21.605000Z" "https://api.kobiton.com:443/v1/sessions/4153599/ksl-metadata" "7.734" "GET" 
"2022-04-26T07:35:04.886000Z" "https://api.kobiton.com:443/v1/device-bundles?platformName=iOS&category=PHONE&category=ANY&includeSauceLabsBundle=true&sessionId=4153212" "7.538" "GET" 
"2022-04-25T06:34:38.210000Z" "https://api.kobiton.com:443/v1/sessions/4154046/ksl-actions" "7.41" "GET" 
"2022-04-27T20:39:05.496000Z" "https://api.kobiton.com:443/v1/data-sets/all?exploringSessionId=4161121" "7.343" "GET" 
